VD_A for chart project:
VD_A(treatment=getlo, control=modificare_random) = (0.15, 'large')
VD_A(treatment=kanonizo_random, control=modificare_random) = (0.5575, 'negligible')
VD_A(treatment=kanonizo_greedy, control=modificare_random) = (0.67, 'medium')
VD_A(treatment=kanonizo_randomsearch, control=modificare_random) = (0.6675, 'medium')
VD_A(treatment=kanonizo_additionalgreedy, control=modificare_random) = (0.1275, 'large')
VD_A(treatment=kanonizo_geneticalgorithm, control=modificare_random) = (0.57, 'negligible')
VD_A(treatment=modificare_HC_FA, control=modificare_random) = (0.645, 'small')
VD_A(treatment=modificare_ART_man_avg, control=modificare_random) = (0.505, 'negligible')
VD_A(treatment=modificare_greedy, control=modificare_random) = (0.25, 'large')
VD_A(treatment=modificare_genetic, control=modificare_random) = (0.5475, 'negligible')
VD_A(treatment=modificare_SANN, control=modificare_random) = (0.67, 'medium')
VD_A(treatment=modificare_HC_SA, control=modificare_random) = (0.6325, 'small')

