VD_A for lang project:
VD_A(treatment=getlo, control=modificare_random) = (0.2, 'large')
VD_A(treatment=kanonizo_random, control=modificare_random) = (0.12, 'large')
VD_A(treatment=kanonizo_greedy, control=modificare_random) = (0.2, 'large')
VD_A(treatment=kanonizo_randomsearch, control=modificare_random) = (0.16, 'large')
VD_A(treatment=kanonizo_additionalgreedy, control=modificare_random) = (0.2, 'large')
VD_A(treatment=kanonizo_geneticalgorithm, control=modificare_random) = (0.24, 'large')
VD_A(treatment=modificare_HC_FA, control=modificare_random) = (0.56, 'negligible')
VD_A(treatment=modificare_ART_man_avg, control=modificare_random) = (0.2, 'large')
VD_A(treatment=modificare_greedy, control=modificare_random) = (0.0, 'large')
VD_A(treatment=modificare_genetic, control=modificare_random) = (0.44, 'negligible')
VD_A(treatment=modificare_SANN, control=modificare_random) = (0.4, 'small')
VD_A(treatment=modificare_HC_SA, control=modificare_random) = (0.24, 'large')

