VD_A for time project:
VD_A(treatment=getlo, control=kanonizo_random) = (0.0, 'large')
VD_A(treatment=kanonizo_greedy, control=kanonizo_random) = (0.2, 'large')
VD_A(treatment=kanonizo_randomsearch, control=kanonizo_random) = (0.2, 'large')
VD_A(treatment=kanonizo_additionalgreedy, control=kanonizo_random) = (0.04, 'large')
VD_A(treatment=kanonizo_geneticalgorithm, control=kanonizo_random) = (0.2, 'large')
VD_A(treatment=modificare_HC_FA, control=kanonizo_random) = (0.68, 'medium')
VD_A(treatment=modificare_random, control=kanonizo_random) = (0.52, 'negligible')
VD_A(treatment=modificare_ART_man_avg, control=kanonizo_random) = (0.96, 'large')
VD_A(treatment=modificare_genetic, control=kanonizo_random) = (0.84, 'large')
VD_A(treatment=modificare_SANN, control=kanonizo_random) = (0.4, 'small')
VD_A(treatment=modificare_HC_SA, control=kanonizo_random) = (0.52, 'negligible')

