TestCase,ExecutionTime,Passed
org.jfree.chart.axis.junit.SubCategoryAxisTests.test2275695,4,true
org.jfree.chart.renderer.xy.junit.XYStepRendererTests.testDrawWithNullValue,7,true
org.jfree.chart.junit.JFreeChartTests.testSerialization4,52,false
org.jfree.chart.plot.junit.PiePlotTests.testDrawWithNullLegendLabels,7,true
org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization4,25,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testBug1572478Horizontal,4,true
org.jfree.chart.axis.junit.DateAxisTests.testPreviousStandardDateMillisecondB,1,true
org.jfree.chart.plot.junit.CombinedDomainXYPlotTests.testNotification,6,true
org.jfree.chart.junit.GanttChartTests.testDrawWithNullInfo2,71,true
org.jfree.chart.plot.junit.SpiderWebPlotTests.testDrawWithNullInfo,6,true
org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests.testDrawWithNullInfo,5,true
org.jfree.chart.plot.junit.MeterPlotTests.testEquals,1,true
org.jfree.chart.junit.ChartPanelTests.test2502355_zoomInBoth,5,true
org.jfree.chart.plot.dial.junit.DialPlotTests.testEquals,3,true
org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests.testBug1593156,9,true
org.jfree.chart.renderer.category.junit.IntervalBarRendererTests.testDrawWithNullInfo,8,true
org.jfree.chart.axis.junit.SegmentedTimelineTests2.test8,1,true
org.jfree.data.time.ohlc.junit.OHLCSeriesCollectionTests.testEquals,1,true
org.jfree.chart.renderer.category.junit.LineRenderer3DTests.testHashcode,0,true
org.jfree.chart.axis.junit.LogAxisTests.testXYAutoRange2,1,true
org.jfree.chart.renderer.category.junit.StackedBarRenderer3DTests.testSerialization,2,true
org.jfree.chart.plot.junit.PiePlot3DTests.testDrawWithNullDataset,2,true
org.jfree.chart.renderer.xy.junit.ClusteredXYBarRendererTests.testFindDomainBounds,0,true
org.jfree.chart.plot.junit.FastScatterPlotTests.testDrawWithNullInfo,32,true
org.jfree.chart.plot.junit.ThermometerPlotTests.testEquals,1,true
org.jfree.chart.plot.junit.CategoryPlotTests.testEquals,27,true
org.jfree.chart.title.junit.PaintScaleLegendTests.testEquals,1,true
org.jfree.chart.axis.junit.PeriodAxisTests.testEqualsWithLocale,8,true
org.jfree.data.time.junit.TimeTableXYDatasetTests.testGetTimePeriod,1,true
org.jfree.chart.plot.junit.CompassPlotTests.testEquals,1,true
org.jfree.data.time.junit.TimePeriodValuesTests.testGetMaxMiddleIndex,1,true
org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests.testRemoveSubplot,1,true
org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests.testRemoveSubplot,1,true
org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests.testDrawWithNullInfo,9,true
org.jfree.chart.plot.junit.CombinedRangeXYPlotTests.testRemoveSubplot,1,true
org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests.testDrawWithEmptyDataset,4,true
org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullMeanVertical,5,true
org.jfree.chart.plot.junit.PolarPlotTests.testEquals,2,true
org.jfree.chart.renderer.xy.junit.CandlestickRendererTests.testFindRangeBounds,1,true
org.jfree.chart.block.junit.GridArrangementTests.testNR,0,true
org.jfree.chart.renderer.category.junit.WaterfallBarRendererTests.testEquals,0,true
