TestCase,ExecutionTime,Passed
org.jfree.data.time.junit.MinuteTests.testGetLastMillisecondWithTimeZone,1,true
org.jfree.data.general.junit.DatasetUtilitiesTests.testFindDomainBounds_NaN,1,true
org.jfree.chart.labels.junit.BoxAndWhiskerXYToolTipGeneratorTests.testHashCode,0,true
org.jfree.data.xy.junit.OHLCDataItemTests.testSerialization,5,true
org.jfree.data.xy.junit.VectorSeriesTests.testClear,1,true
org.jfree.chart.renderer.xy.junit.XYStepAreaRendererTests.testPublicCloneable,0,true
org.jfree.data.xy.junit.DefaultTableXYDatasetTests.testSerialization,7,false
org.jfree.chart.entity.junit.CategoryItemEntityTests.testSerialization,2,true
org.jfree.chart.annotations.junit.CategoryLineAnnotationTests.testCloning,1,true
org.jfree.data.xy.junit.XYIntervalSeriesTests.testCloning,1,true
org.jfree.data.time.junit.MillisecondTests.testHashcode,1,true
org.jfree.data.time.junit.YearTests.testNext,1,true
org.jfree.chart.axis.junit.LogAxisTests.testSerialization,3,true
org.jfree.data.xy.junit.XYCoordinateTests.testHashcode,1,true
org.jfree.data.junit.KeyedObjectsTests.testInsertAndRetrieve,1,true
org.jfree.chart.plot.junit.ValueMarkerTests.testGetSetValue,0,true
org.jfree.chart.plot.junit.XYPlotTests.testAddDomainMarker,1,true
org.jfree.chart.axis.junit.DateAxisTests.testPreviousStandardDateSecondA,1,true
org.jfree.chart.util.junit.StrokeMapTests.testSerialization1,0,true
org.jfree.chart.annotations.junit.XYPointerAnnotationTests.testSerialization,2,true
org.jfree.chart.plot.junit.XYPlotTests.testCloning_QuadrantPaint,1,true
org.jfree.chart.axis.junit.SubCategoryAxisTests.testCloning,1,true
org.jfree.chart.needle.junit.ArrowNeedleTests.testCloning,0,true
org.jfree.chart.junit.PieChart3DTests.testReplaceDatasetOnPieChart,1,true
org.jfree.data.function.junit.NormalDistributionFunction2DTests.testSerialization,1,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testBug1572478Vertical,4,true
org.jfree.chart.renderer.category.junit.BarRendererTests.testHashcode,0,true
org.jfree.chart.urls.junit.StandardXYURLGeneratorTests.testPublicCloneable,0,true
org.jfree.data.time.junit.TimeSeriesTests.testClear,1,true
org.jfree.chart.renderer.junit.AbstractRendererTests.testAutoPopulateFlagDefaults,0,true
org.jfree.data.statistics.junit.HistogramDatasetTests.testAddSeries,0,true
org.jfree.data.gantt.junit.TaskSeriesCollectionTests.testGetRowIndex,1,true
org.jfree.data.gantt.junit.TaskSeriesTests.testCloning,1,true
org.jfree.data.junit.DefaultKeyedValues2DTests.testRemoveValue,2,true
org.jfree.data.statistics.junit.SimpleHistogramBinTests.testAccepts,0,true
org.jfree.chart.labels.junit.MultipleXYSeriesLabelGeneratorTests.testHashCode,0,true
org.jfree.chart.plot.dial.junit.StandardDialFrameTests.testSerialization,1,true
org.jfree.data.time.junit.TimeSeriesTests.testEquals2,1,true
org.jfree.data.time.junit.TimePeriodValuesTests.testAddValue,1,true
org.jfree.data.xy.junit.MatrixSeriesTests.testSerialization,2,true
org.jfree.data.time.junit.MonthTests.testGetLastMillisecond,1,true
org.jfree.data.junit.KeyToGroupMapTests.testGetGroupIndex,1,true
org.jfree.chart.plot.junit.PlotRenderingInfoTests.testCloning,0,true
org.jfree.chart.plot.dial.junit.DialCapTests.testCloning,0,true
org.jfree.chart.plot.junit.PiePlotTests.testCloning_LegendLabelURLGenerator,1,true
org.jfree.data.time.junit.TimeSeriesTests.testClone2,1,true
org.jfree.data.xy.junit.XYSeriesTests.testSetMaximumItemCount2,2,true
org.jfree.chart.annotations.junit.XYShapeAnnotationTests.testEquals,0,true
org.jfree.data.time.junit.QuarterTests.testQ4Y9999Next,0,true
org.jfree.chart.title.junit.LegendTitleTests.testCloning,1,true
org.jfree.data.time.junit.SecondTests.testNotCloneable,0,true
org.jfree.data.xy.junit.YIntervalDataItemTests.testSerialization,2,true
org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests.testEquals,1,true
org.jfree.chart.util.junit.SerialUtilitiesTests.testColorUIResourceSerialization,1,true
org.jfree.data.time.junit.SimpleTimePeriodTests.testEquals,0,true
org.jfree.data.category.junit.DefaultCategoryDatasetTests.testEquals,0,true
org.jfree.data.xy.junit.TableXYDatasetTests.testAutoPrune,2,true
org.jfree.data.time.junit.TimePeriodValuesTests.testEquals,1,true
org.jfree.chart.renderer.junit.LookupPaintScaleTests.testSerialization,2,true
org.jfree.chart.plot.junit.CombinedDomainXYPlotTests.testRemoveSubplot,2,true
org.jfree.chart.title.junit.DateTitleTests.testEquals,1,true
org.jfree.chart.renderer.xy.junit.DeviationRendererTests.testPublicCloneable,0,true
org.jfree.chart.block.junit.EmptyBlockTests.testEquals,0,true
org.jfree.chart.title.junit.PaintScaleLegendTests.testSerialization,2,true
org.jfree.chart.axis.junit.LogAxisTests.testTickMarksVisibleDefault,0,true
org.jfree.chart.plot.junit.MarkerTests.testListenersWithXYPlot,0,true
org.jfree.chart.annotations.junit.XYLineAnnotationTests.testHashCode,0,true
