TestCase,ExecutionTime,Passed
org.jfree.chart.axis.junit.SubCategoryAxisTests.test2275695,4,true
org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests.testNoDisplayedItem,10,true
org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization4,34,true
org.jfree.chart.renderer.xy.junit.XYStepRendererTests.testDrawWithNullValue,10,true
org.jfree.chart.renderer.xy.junit.XYStepRendererTests.testDrawWithNullInfo,10,true
org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests.testBug1593156,9,true
org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests.testDrawWithNullInfo,13,true
org.jfree.chart.renderer.xy.junit.XYAreaRenderer2Tests.testDrawWithNullInfo,9,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testBug1572478Horizontal,4,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testBug1572478Vertical,4,true
org.jfree.chart.plot.junit.XYPlotTests.testSerialization4,16,true
org.jfree.chart.renderer.xy.junit.XYAreaRendererTests.testDrawWithNullInfo,18,true
org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests.testDrawWithNullInfo,11,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullMaxRegular,5,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullMaxOutlier,5,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullMean,6,true
org.jfree.chart.renderer.xy.junit.XYStepAreaRendererTests.testDrawWithNullInfo,11,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullQ1,6,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullQ3,5,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullMinRegular,5,true
org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullMeanVertical,6,true
org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullDeviationHorizontal,9,true
org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullDeviationVertical,6,true
org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullMeanHorizontal,6,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullMinOutlier,6,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullMedian,5,true
org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullInfo,5,true
org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization3,23,true
org.jfree.chart.plot.junit.XYPlotTests.testSerialization3,23,true
org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests.testDrawWithEmptyDataset,5,true
org.jfree.chart.renderer.category.junit.IntervalBarRendererTests.testDrawWithNullInfo,9,true
org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests.testDrawWithNullInfo,9,true
org.jfree.chart.renderer.category.junit.LayeredBarRendererTests.testDrawWithNullInfo,7,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullInfo,5,true
org.jfree.chart.renderer.category.junit.LevelRendererTests.testDrawWithNullInfo,7,true
org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests.testDrawWithNullInfo,7,true
org.jfree.chart.axis.junit.LogAxisTests.testAutoRange1,1,true
org.jfree.chart.plot.junit.CombinedDomainXYPlotTests.testNotification,7,true
org.jfree.chart.plot.junit.XYPlotTests.testDrawSeriesWithZeroItems,5,true
org.jfree.chart.axis.junit.LogAxisTests.testAutoRange3,1,true
org.jfree.chart.axis.junit.NumberAxisTests.testAutoRange1,1,true
org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests.testNotification,31,true
org.jfree.chart.axis.junit.NumberAxisTests.testAutoRange4,1,true
org.jfree.chart.axis.junit.LogAxisTests.testXYAutoRange2,1,true
org.jfree.chart.axis.junit.LogAxisTests.testXYAutoRange1,1,true
org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests.testNotification,50,true
org.jfree.chart.axis.junit.ValueAxisTests.testAxisMargins,1,true
org.jfree.chart.axis.junit.NumberAxisTests.testAutoRange3,0,true
org.jfree.chart.axis.junit.NumberAxisTests.testAutoRange2,0,true
org.jfree.chart.axis.junit.NumberAxisTests.testXYAutoRange2,20,true
org.jfree.chart.axis.junit.NumberAxisTests.testXYAutoRange1,1,true
org.jfree.chart.plot.junit.CombinedRangeXYPlotTests.testNotification,15,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testGetLegendItem,1,true
org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests.testFindRangeBounds,1,true
org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests.testFindDomainBounds,1,true
org.jfree.chart.renderer.xy.junit.XYBarRendererTests.testFindDomainBounds,1,true
org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests.testFindRangeBounds,2,true
org.jfree.chart.plot.junit.XYPlotTests.testDrawRangeGridlines,7,true
org.jfree.chart.junit.BarChartTests.testDrawWithNullInfo,17,true
org.jfree.chart.junit.WaterfallChartTests.testDrawWithNullInfo,20,true
org.jfree.chart.junit.StackedBarChart3DTests.testDrawWithNullInfo,5,true
org.jfree.chart.renderer.xy.junit.StackedXYBarRendererTests.testFindDomainBounds,1,true
org.jfree.chart.renderer.xy.junit.StackedXYBarRendererTests.testFindRangeBounds,4,true
org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests.testFindRangeBounds,1,true
org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests.testGetLegendItemSeriesIndex,1,true
org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests.testGetLegendItemSeriesIndex,1,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testGetLegendItemSeriesIndex,0,true
org.jfree.chart.renderer.category.junit.BarRendererTests.testGetLegendItem,1,true
org.jfree.chart.renderer.category.junit.BarRendererTests.testGetLegendItemSeriesIndex,1,true
org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests.testGetLegendItemSeriesIndex,1,true
org.jfree.chart.junit.XYStepChartTests.testDrawWithNullInfo,9,true
org.jfree.chart.annotations.junit.XYTitleAnnotationTests.testDrawWithNullInfo,30,true
org.jfree.chart.renderer.xy.junit.XYBarRendererTests.testGetLegendItemSeriesIndex,1,true
org.jfree.chart.renderer.category.junit.LevelRendererTests.testGetLegendItemSeriesIndex,1,true
org.jfree.chart.junit.BarChart3DTests.testDrawWithNullInfo,23,true
org.jfree.chart.renderer.xy.junit.XYAreaRenderer2Tests.testGetLegendItemSeriesIndex,1,true
org.jfree.chart.renderer.category.junit.CategoryStepRendererTests.testGetLegendItemSeriesIndex,1,true
org.jfree.chart.plot.junit.CategoryPlotTests.test1654215,11,true
org.jfree.chart.renderer.xy.junit.XYAreaRendererTests.testGetLegendItemSeriesIndex,1,true
org.jfree.chart.renderer.category.junit.AreaRendererTests.testGetLegendItemSeriesIndex,1,true
org.jfree.chart.annotations.junit.XYBoxAnnotationTests.testDrawWithNullInfo,41,true
org.jfree.chart.renderer.xy.junit.XYDotRendererTests.testGetLegendItemSeriesIndex,1,true
org.jfree.chart.junit.LineChart3DTests.testDrawWithNullInfo,25,true
org.jfree.chart.plot.junit.XYPlotTests.test1654215,7,true
org.jfree.chart.renderer.xy.junit.XYDifferenceRendererTests.testGetLegendItemSeriesIndex,2,true
org.jfree.chart.junit.XYBarChartTests.testDrawWithNullInfo,11,true
org.jfree.chart.junit.AreaChartTests.testDrawWithNullInfo,9,true
org.jfree.chart.junit.LineChartTests.testDrawWithNullInfo,14,true
org.jfree.chart.junit.GanttChartTests.testDrawWithNullInfo2,109,true
org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests.testSerialization,9,true
org.jfree.chart.junit.XYAreaChartTests.testDrawWithNullInfo,10,true
org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests.testSerialization,11,true
org.jfree.chart.junit.StackedAreaChartTests.testDrawWithNullInfo,7,true
org.jfree.chart.junit.StackedBarChart3DTests.testSetSeriesURLGenerator,2,true
org.jfree.chart.junit.StackedBarChart3DTests.testSetSeriesToolTipGenerator,2,true
org.jfree.chart.junit.StackedBarChart3DTests.testReplaceDataset,2,true
org.jfree.chart.renderer.xy.junit.YIntervalRendererTests.testGetLegendItemSeriesIndex,1,true
org.jfree.chart.junit.WaterfallChartTests.testSetSeriesURLGenerator,1,true
org.jfree.chart.junit.WaterfallChartTests.testSetSeriesToolTipGenerator,2,true
org.jfree.chart.junit.BarChartTests.testSetSeriesURLGenerator,1,true
org.jfree.chart.junit.BarChartTests.testSetSeriesToolTipGenerator,1,true
org.jfree.chart.junit.BarChartTests.testReplaceDataset,2,true
org.jfree.chart.renderer.xy.junit.XYBubbleRendererTests.testGetLegendItemSeriesIndex,1,true
org.jfree.chart.junit.BarChart3DTests.testSetSeriesURLGenerator,3,true
org.jfree.chart.junit.BarChart3DTests.testSetSeriesToolTipGenerator,2,true
org.jfree.chart.junit.BarChart3DTests.testReplaceDataset,2,true
org.jfree.chart.plot.junit.CombinedDomainXYPlotTests.testSerialization,7,false
org.jfree.chart.junit.XYLineChartTests.testDrawWithNullInfo,9,true
org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization5,11,true
org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization,6,true
org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests.testEquals,4,true
org.jfree.chart.junit.LineChart3DTests.testSetSeriesURLGenerator,2,true
org.jfree.chart.junit.LineChart3DTests.testSetSeriesToolTipGenerator,2,true
org.jfree.chart.junit.LineChart3DTests.testReplaceDataset,2,true
org.jfree.chart.junit.XYStepChartTests.testSetSeriesToolTipGenerator,2,true
org.jfree.chart.junit.XYStepChartTests.testReplaceDataset,2,true
org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests.testEquals,4,true
org.jfree.chart.junit.XYStepAreaChartTests.testDrawWithNullInfo,12,true
org.jfree.chart.plot.junit.CombinedDomainXYPlotTests.testEquals,3,true
org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests.testCloning,2,true
org.jfree.chart.junit.AreaChartTests.testSetSeriesURLGenerator,1,true
org.jfree.chart.junit.AreaChartTests.testSetSeriesToolTipGenerator,1,true
org.jfree.chart.junit.AreaChartTests.testReplaceDataset,3,true
org.jfree.chart.junit.LineChartTests.testSetSeriesURLGenerator,1,true
org.jfree.chart.junit.LineChartTests.testSetSeriesToolTipGenerator,1,true
org.jfree.chart.junit.LineChartTests.testReplaceDataset,2,true
org.jfree.chart.junit.ScatterPlotTests.testDrawWithNullInfo,11,true
org.jfree.chart.plot.junit.CombinedDomainXYPlotTests.testCloning,3,true
org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests.testCloning,2,true
org.jfree.chart.junit.StackedAreaChartTests.testSetSeriesURLGenerator,1,true
org.jfree.chart.junit.StackedAreaChartTests.testSetSeriesToolTipGenerator,1,true
org.jfree.chart.junit.StackedAreaChartTests.testReplaceDataset,2,true
org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization2,8,true
org.jfree.chart.junit.XYBarChartTests.testSetSeriesToolTipGenerator,1,true
org.jfree.chart.junit.XYBarChartTests.testReplaceDataset,2,true
org.jfree.chart.plot.junit.XYPlotTests.testSerialization5,8,true
org.jfree.chart.junit.XYAreaChartTests.testSetSeriesToolTipGenerator,1,true
org.jfree.chart.junit.XYAreaChartTests.testReplaceDataset,2,true
org.jfree.chart.plot.junit.XYPlotTests.testSerialization1,7,true
org.jfree.chart.plot.junit.CombinedRangeXYPlotTests.testSerialization,10,false
org.jfree.chart.plot.junit.XYPlotTests.testSerialization2,9,false
org.jfree.chart.junit.GanttChartTests.testDrawWithNullInfo,25,true
org.jfree.chart.junit.JFreeChartTests.testSerialization4,44,false
org.jfree.chart.junit.JFreeChartTests.testSerialization3,50,true
org.jfree.chart.plot.junit.PiePlotTests.testDrawWithNullLegendLabels,8,true
org.jfree.chart.plot.junit.CombinedRangeXYPlotTests.testCloning,3,true
org.jfree.chart.plot.junit.CombinedRangeXYPlotTests.testEquals,13,true
org.jfree.chart.plot.junit.CategoryPlotTests.testGetDomainAxisForDataset,1,true
org.jfree.chart.junit.StackedBarChartTests.testDrawWithNullInfo,12,true
org.jfree.chart.junit.XYLineChartTests.testSetSeriesToolTipGenerator,2,true
org.jfree.chart.junit.XYLineChartTests.testReplaceDataset,2,true
org.jfree.chart.plot.junit.XYPlotTests.testGetDomainAxisForDataset,2,true
org.jfree.chart.junit.PieChart3DTests.testNullValueInDataset,60,true
org.jfree.chart.junit.TimeSeriesChartTests.testDrawWithNullInfo,610,true
org.jfree.chart.junit.ChartPanelTests.test2502355_zoomOutBoth,7,true
org.jfree.chart.junit.ChartPanelTests.test2502355_zoomOutRange,5,true
org.jfree.chart.junit.XYStepAreaChartTests.testSetSeriesToolTipGenerator,2,true
org.jfree.chart.junit.XYStepAreaChartTests.testReplaceDataset,2,true
org.jfree.chart.junit.ChartPanelTests.test2502355_zoomInBoth,6,true
org.jfree.chart.junit.ChartPanelTests.testSetMouseWheelEnabled,6,true
org.jfree.chart.junit.ChartPanelTests.test2502355_zoom,6,true
org.jfree.chart.junit.ScatterPlotTests.testSetSeriesToolTipGenerator,3,true
org.jfree.chart.junit.ScatterPlotTests.testReplaceDataset,4,true
org.jfree.chart.junit.ChartPanelTests.test2502355_zoomInDomain,8,true
org.jfree.chart.junit.ChartPanelTests.test2502355_zoomInRange,9,true
org.jfree.chart.junit.ChartPanelTests.test2502355_restoreAutoRangeBounds,9,true
org.jfree.chart.junit.ChartPanelTests.test2502355_zoomOutDomain,11,true
org.jfree.chart.junit.ChartPanelTests.test2502355_restoreAutoDomainBounds,11,true
org.jfree.chart.junit.ChartPanelTests.test2502355_restoreAutoBounds,13,true
org.jfree.chart.plot.junit.CategoryPlotTests.test1169972,1,true
org.jfree.chart.plot.junit.CategoryPlotTests.testAxisRange,2,true
org.jfree.chart.plot.junit.XYPlotTests.testGetRangeAxisForDataset,2,true
org.jfree.chart.renderer.junit.AbstractRendererTests.testFillPaintLookup,1,true
org.jfree.chart.renderer.junit.AbstractRendererTests.testOutlinePaintLookup,1,true
org.jfree.chart.renderer.junit.AbstractRendererTests.testPaintLookup,1,true
org.jfree.chart.plot.junit.CategoryPlotTests.testGetRangeAxisForDataset,1,true
org.jfree.chart.plot.junit.PiePlot3DTests.testDrawWithNullDataset,2,true
org.jfree.chart.plot.junit.XYPlotTests.testGetLegendItems,1,true
org.jfree.chart.junit.StackedBarChartTests.testReplaceDataset,4,true
org.jfree.chart.junit.StackedBarChartTests.testSetSeriesToolTipGenerator,3,true
org.jfree.chart.junit.StackedBarChartTests.testSetSeriesURLGenerator,3,true
org.jfree.chart.plot.junit.CategoryPlotTests.testEquals,40,true
org.jfree.chart.junit.GanttChartTests.testSetSeriesToolTipGenerator,2,true
org.jfree.chart.junit.GanttChartTests.testReplaceDataset,2,true
org.jfree.chart.plot.junit.XYPlotTests.testEquals,26,true
org.jfree.chart.plot.junit.SpiderWebPlotTests.testDrawWithNullInfo,9,true
org.jfree.chart.plot.junit.XYPlotTests.testCloning3,2,true
org.jfree.chart.junit.GanttChartTests.testSetSeriesURLGenerator,2,true
org.jfree.chart.plot.junit.XYPlotTests.testCloning4,1,true
org.jfree.chart.plot.junit.XYPlotTests.testCloneIndependence,3,true
org.jfree.chart.plot.junit.XYPlotTests.testCloning2,3,true
org.jfree.chart.junit.TimeSeriesChartTests.testReplaceDataset,4,true
org.jfree.chart.junit.TimeSeriesChartTests.testSetSeriesToolTipGenerator,5,true
org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests.test2947660,1,false
org.jfree.chart.title.junit.LegendTitleTests.testSerialization,3,true
