TestCase,ExecutionTime,Passed
org.jfree.chart.axis.junit.SubCategoryAxisTests.test2275695,3,true
org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests.testNoDisplayedItem,6,true
org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization4,21,true
org.jfree.chart.renderer.xy.junit.XYStepRendererTests.testDrawWithNullValue,7,true
org.jfree.chart.renderer.xy.junit.XYStepRendererTests.testDrawWithNullInfo,7,true
org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests.testBug1593156,7,true
org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests.testDrawWithNullInfo,8,true
org.jfree.chart.renderer.xy.junit.XYAreaRenderer2Tests.testDrawWithNullInfo,7,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testBug1572478Vertical,4,true
org.jfree.chart.plot.junit.XYPlotTests.testSerialization4,14,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testBug1572478Horizontal,4,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullMaxOutlier,7,true
org.jfree.chart.renderer.xy.junit.XYAreaRendererTests.testDrawWithNullInfo,13,true
org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests.testDrawWithNullInfo,12,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullQ1,5,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullQ3,6,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullMinRegular,5,true
org.jfree.chart.renderer.xy.junit.XYStepAreaRendererTests.testDrawWithNullInfo,8,true
org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullInfo,5,true
org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullDeviationHorizontal,7,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullMedian,5,true
org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullMeanVertical,5,true
org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullDeviationVertical,6,true
org.jfree.chart.plot.junit.XYPlotTests.testSerialization3,13,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullMinOutlier,5,true
org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization3,16,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullMaxRegular,5,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullMean,7,true
org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullMeanHorizontal,7,true
org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests.testDrawWithEmptyDataset,4,true
org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullInfo,4,true
org.jfree.chart.renderer.category.junit.IntervalBarRendererTests.testDrawWithNullInfo,14,true
org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests.testDrawWithNullInfo,8,true
org.jfree.chart.renderer.category.junit.LayeredBarRendererTests.testDrawWithNullInfo,5,true
org.jfree.chart.renderer.category.junit.LevelRendererTests.testDrawWithNullInfo,6,true
org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests.testDrawWithNullInfo,4,true
org.jfree.chart.axis.junit.LogAxisTests.testAutoRange1,1,true
org.jfree.chart.plot.junit.CombinedDomainXYPlotTests.testNotification,5,true
org.jfree.chart.plot.junit.XYPlotTests.testDrawSeriesWithZeroItems,4,true
org.jfree.chart.axis.junit.LogAxisTests.testAutoRange3,1,true
org.jfree.chart.axis.junit.NumberAxisTests.testAutoRange4,1,true
org.jfree.chart.axis.junit.NumberAxisTests.testAutoRange1,1,true
org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests.testNotification,23,true
org.jfree.chart.axis.junit.LogAxisTests.testXYAutoRange2,1,true
org.jfree.chart.axis.junit.LogAxisTests.testXYAutoRange1,1,true
org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests.testNotification,33,true
org.jfree.chart.axis.junit.ValueAxisTests.testAxisMargins,1,true
org.jfree.chart.axis.junit.NumberAxisTests.testAutoRange3,1,true
