VD_A for lang project:
VD_A(treatment=getlo, control=modificare_random) = (0.35, 'small')
VD_A(treatment=kanonizo_greedy, control=modificare_random) = (0.4225, 'small')
VD_A(treatment=kanonizo_randomsearch, control=modificare_random) = (0.425, 'small')
VD_A(treatment=kanonizo_additionalgreedy, control=modificare_random) = (0.365, 'small')
VD_A(treatment=kanonizo_geneticalgorithm, control=modificare_random) = (0.4, 'small')
VD_A(treatment=modificare_HC_FA, control=modificare_random) = (0.665, 'medium')
VD_A(treatment=modificare_ART_man_avg, control=modificare_random) = (0.48875, 'negligible')
VD_A(treatment=modificare_greedy, control=modificare_random) = (0.15, 'large')
VD_A(treatment=modificare_genetic, control=modificare_random) = (0.4575, 'negligible')
VD_A(treatment=modificare_SANN, control=modificare_random) = (0.615, 'small')
VD_A(treatment=modificare_HC_SA, control=modificare_random) = (0.6125, 'small')

