TestCase,ExecutionTime,Passed
org.apache.commons.math3.ode.nonstiff.AdamsMoultonIntegratorTest.polynomial,16,true
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest.testDoubleRotations,1295,true
org.apache.commons.math3.optimization.fitting.PolynomialFitterTest.testFit,4,true
org.apache.commons.math3.stat.regression.GLSMultipleLinearRegressionTest.testGLSEfficiency,4858,true
org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSetTest.testIsometry,9,true
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest.testInitOutOfBounds,0,true
org.apache.commons.math3.optimization.direct.BOBYQAOptimizerTest.testMaximize,699,true
org.apache.commons.math3.linear.BlockFieldMatrixTest.testGetSetRowVectorLarge,3,true
org.apache.commons.math3.linear.EigenDecompositionTest.testMath848,4,true
org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegratorTest.testEvents,3,true
org.apache.commons.math3.ode.JacobianMatricesTest.testInternalDifferentiation,684,true
org.apache.commons.math3.fitting.GaussianFitterTest.testMath519,46,true
org.apache.commons.math3.stat.regression.SimpleRegressionTest.testAppend,1,true
org.apache.commons.math3.optimization.direct.CMAESOptimizerTest.testCigarWithBoundaries,751,true
org.apache.commons.math3.fitting.GaussianCurveFitterTest.testMath519,87,true
org.apache.commons.math3.linear.UnmodifiableOpenMapRealVectorTest.testSparseIterator,2,true
org.apache.commons.math3.stat.regression.MillerUpdatingRegressionTest.testSubsetRegression,0,true
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatorTest.testPreconditions,23,true
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest.testCigarWithBoundaries,870,true
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest.testSumSinc,1,true
org.apache.commons.math3.linear.SymmLQTest.testPreconditionedSolution,3,true
org.apache.commons.math3.primes.PrimesTest.testPrimeFactors,21,true
org.apache.commons.math3.random.EmpiricalDistributionTest.testDensityIntegrals,2616,true
org.apache.commons.math3.linear.SparseFieldVectorTest.testBasicFunctions,2,true
org.apache.commons.math3.random.AbstractRandomGeneratorTest.testNextPoisson,39,true
org.apache.commons.math3.optim.linear.SimplexSolverTest.testMath290LEQ,1,true
org.apache.commons.math3.optimization.linear.SimplexSolverTest.testMath434PivotRowSelection2,3,true
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionMappingAdapterTest.testStartSimplexInsideRange,1,true
org.apache.commons.math3.optimization.direct.PowellOptimizerTest.testSumSinc,1,true
org.apache.commons.math3.linear.MatrixUtilsTest.testBlockInverseNonInvertible,0,true
org.apache.commons.math3.stat.descriptive.SynchronizedDescriptiveStatisticsTest.testRemoval,1,true
org.apache.commons.math3.optimization.MultivariateMultiStartOptimizerTest.testRosenbrock,2,true
org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testConvergenceException,11,true
org.apache.commons.math3.transform.FastFourierTransformerTest.test2DData,1,true
org.apache.commons.math3.ode.sampling.NordsieckStepInterpolatorTest.serialization,20,true
org.apache.commons.math3.analysis.integration.gauss.LegendreTest.testCos,2,true
org.apache.commons.math3.stat.descriptive.SynchronizedMultivariateSummaryStatisticsTest.testDimension,0,true
org.apache.commons.math3.genetics.GeneticAlgorithmTestPermutations.test,445,true
org.apache.commons.math3.stat.clustering.KMeansPlusPlusClustererTest.testCertainSpace,154,true
org.apache.commons.math3.stat.inference.TestUtilsTest.testOneSampleT,1,true
org.apache.commons.math3.optim.nonlinear.vector.MultiStartMultivariateVectorOptimizerTest.testIssue914,2,true
org.apache.commons.math3.linear.BiDiagonalTransformerTest.testUOrthogonal,0,true
org.apache.commons.math3.optimization.fitting.HarmonicFitterTest.testTinyVariationsData,27,true
org.apache.commons.math3.stat.correlation.SpearmansRankCorrelationTest.testMath891Array,1,true
org.apache.commons.math3.ml.clustering.MultiKMeansPlusPlusClustererTest.dimension2,1,true
org.apache.commons.math3.optimization.MultivariateDifferentiableVectorMultiStartOptimizerTest.testTrivial,3,true
org.apache.commons.math3.fraction.BigFractionFormatTest.testParseProperInvalidMinus,0,true
org.apache.commons.math3.util.Decimal64Test.testGetField,0,true
org.apache.commons.math3.optim.nonlinear.scalar.MultiStartMultivariateOptimizerTest.testCircleFitting,4,true
org.apache.commons.math3.ode.events.EventFilterTest.testTwoOppositeFilters,1,true
org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFPTest.testNeta,396,true
org.apache.commons.math3.filter.KalmanFilterTest.testConstantAcceleration,7,true
org.apache.commons.math3.ode.FirstOrderConverterTest.testSmallStep,18,true
org.apache.commons.math3.analysis.interpolation.LoessInterpolatorTest.testNotAllFiniteReal1,1,true
org.apache.commons.math3.geometry.euclidean.threed.SphericalCoordinatesTest.testHessian,378,true
org.apache.commons.math3.util.BigRealFieldTest.testOne,0,true
org.apache.commons.math3.optimization.MultivariateDifferentiableMultiStartOptimizerTest.testCircleFitting,11,true
org.apache.commons.math3.stat.FrequencyTest.testPcts,1,true
org.apache.commons.math3.dfp.DfpDecTest.testRoundDecimal10,4,true
org.apache.commons.math3.stat.descriptive.AggregateSummaryStatisticsTest.testAggregate,1,true
org.apache.commons.math3.stat.inference.TestUtilsTest.testGTestIndependance,1,true
org.apache.commons.math3.fitting.leastsquares.GaussNewtonOptimizerTest.testCircleFitting,21,true
org.apache.commons.math3.ml.clustering.FuzzyKMeansClustererTest.testGetters,4,false
org.apache.commons.math3.analysis.solvers.LaguerreSolverTest.testQuinticFunction,1,true
org.apache.commons.math3.distribution.EnumeratedRealDistributionTest.testExceptions,0,true
org.apache.commons.math3.fitting.HarmonicFitterTest.testTinyVariationsData,12,true
