TestCase,ExecutionTime,Passed
org.apache.commons.math3.ode.nonstiff.AdamsMoultonIntegratorTest.polynomial,18,true
org.apache.commons.math3.stat.regression.GLSMultipleLinearRegressionTest.testGLSEfficiency,4459,true
org.apache.commons.math3.stat.regression.MillerUpdatingRegressionTest.testHdiag,47,true
org.apache.commons.math3.ode.sampling.NordsieckStepInterpolatorTest.serialization,7,true
org.apache.commons.math3.ode.nonstiff.AdamsBashforthIntegratorTest.exceedMaxEvaluations,18,true
org.apache.commons.math3.ode.sampling.NordsieckStepInterpolatorTest.derivativesConsistency,12,true
org.apache.commons.math3.ode.nonstiff.AdamsMoultonIntegratorTest.exceedMaxEvaluations,5,true
org.apache.commons.math3.ode.nonstiff.AdamsBashforthIntegratorTest.testIncreasingTolerance,32,true
org.apache.commons.math3.ode.nonstiff.AdamsBashforthIntegratorTest.backward,17,true
org.apache.commons.math3.ode.nonstiff.AdamsBashforthIntegratorTest.polynomial,7,true
org.apache.commons.math3.ode.nonstiff.AdamsMoultonIntegratorTest.backward,7,true
org.apache.commons.math3.ode.nonstiff.AdamsMoultonIntegratorTest.testIncreasingTolerance,37,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testCircleFitting2,1,true
org.apache.commons.math3.stat.regression.MillerUpdatingRegressionTest.testHdiagConstant,32,true
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest.testDoubleRotations,1122,true
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest.testAngles,364,true
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest.testVectorTwoPairs,3,true
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest.testMatrix,7,true
org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizerTestValidation.testParametersErrorMonteCarloObservations,39,true
org.apache.commons.math3.optimization.fitting.PolynomialFitterTest.testFit,3,true
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest.testDoubleVectors,961,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testKirby2,8,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testHahn1,23,true
org.apache.commons.math3.optimization.fitting.PolynomialFitterTest.testMath798,1,true
org.apache.commons.math3.stat.correlation.PearsonsCorrelationTest.testCovarianceConsistency,2,true
org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest.testHahn1,49,true
org.apache.commons.math3.optimization.fitting.PolynomialFitterTest.testMath798WithToleranceTooLowButNoException,560,true
org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizerTestValidation.testParametersErrorMonteCarloParameters,5,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testCircleFitting,6,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testNonInvertible,1,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testBevington,3,true
org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest.testKirby2,9,true
org.apache.commons.math3.optimization.general.AbstractLeastSquaresOptimizerTest.testComputeSigma,3,true
org.apache.commons.math3.stat.regression.MillerUpdatingRegressionTest.testPCorr,0,true
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDSTest.testDerivatives,14,true
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest.testVectorOnePair,1,true
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest.testAxisAngle,2,true
org.apache.commons.math3.optimization.fitting.PolynomialFitterTest.testLargeSample,10664,true
org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSetTest.testIsometry,7,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testTrivial,0,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testInconsistentSizes1,0,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testInconsistentSizes2,1,true
org.apache.commons.math3.stat.correlation.PearsonsCorrelationTest.testLongly,1,true
org.apache.commons.math3.stat.correlation.PearsonsCorrelationTest.testStdErrorConsistency,0,true
org.apache.commons.math3.stat.correlation.PearsonsCorrelationTest.testSwissFertility,1,true
org.apache.commons.math3.stat.correlation.PearsonsCorrelationTest.testPValueNearZero,0,true
org.apache.commons.math3.stat.correlation.SpearmansRankCorrelationTest.testPValueNearZero,0,true
org.apache.commons.math3.stat.correlation.SpearmansRankCorrelationTest.testSwissFertility,1,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testQRColumnsPermutation,0,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testNoDependency,1,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testOneSet,0,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testTwoSets,0,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testIllConditioned,0,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testMoreEstimatedParametersSimple,0,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testMoreEstimatedParametersUnsorted,0,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testRedundantEquations,0,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testInconsistentEquations,1,true
org.apache.commons.math3.optimization.fitting.GaussianFitterTest.testMath519,91,true
org.apache.commons.math3.optimization.fitting.GaussianFitterTest.testFit06,1,true
org.apache.commons.math3.optimization.fitting.GaussianFitterTest.testFit04,5,true
org.apache.commons.math3.optimization.fitting.GaussianFitterTest.testMath798,1,true
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest.testIdentity,1,true
org.apache.commons.math3.stat.regression.OLSMultipleLinearRegressionTest.testLongly,1,true
org.apache.commons.math3.stat.regression.OLSMultipleLinearRegressionTest.testSwissFertility,0,true
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest.testApplyInverseTo,369,true
org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest.testCircleFitting,27,true
org.apache.commons.math3.optimization.fitting.HarmonicFitterTest.testUnsorted,5,true
org.apache.commons.math3.linear.FieldLUSolverTest.testSolve,0,true
org.apache.commons.math3.optimization.fitting.HarmonicFitterTest.test1PercentError,4,true
org.apache.commons.math3.optimization.fitting.HarmonicFitterTest.testNoError,2,true
org.apache.commons.math3.optimization.fitting.GaussianFitterTest.testFit05,3,true
org.apache.commons.math3.optimization.fitting.HarmonicFitterTest.testTinyVariationsData,40,true
org.apache.commons.math3.optimization.fitting.GaussianFitterTest.testFit07,1,true
org.apache.commons.math3.optimization.fitting.GaussianFitterTest.testFit01,1,true
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest.testControlParameters,1,true
org.apache.commons.math3.optimization.fitting.PolynomialFitterTest.testRedundantSolvable,39,true
org.apache.commons.math3.optimization.fitting.PolynomialFitterTest.testNoError,39,true
org.apache.commons.math3.optimization.fitting.PolynomialFitterTest.testSmallError,46,true
org.apache.commons.math3.optimization.fitting.PolynomialFitterTest.testRedundantUnsolvable,20,true
org.apache.commons.math3.optimization.general.MinpackTest.testMinpackMeyer,92,true
