TestCase,ExecutionTime,Passed
org.apache.commons.math3.linear.DiagonalMatrixTest.testConstructor2,1,true
org.apache.commons.math3.special.ErfTest.testErfGnu,1,true
org.apache.commons.math3.random.Well19937aTest.testNextSecureLongNegativeRange,1,true
org.apache.commons.math3.complex.ComplexFormatAbstractTest.testParseDifferentImaginaryChar,0,true
org.apache.commons.math3.ExtendedFieldElementAbstractTest.testRemainderDouble,0,true
org.apache.commons.math3.random.Well512aTest.testNextSecureIntPositiveRange,1,true
org.apache.commons.math3.transform.FastFourierTransformerTest.test2DDataUnitary,0,true
org.apache.commons.math3.distribution.UniformRealDistributionTest.testMeanVariance,1,true
org.apache.commons.math3.util.MathArraysTest.testSortInPlaceExample,1,true
org.apache.commons.math3.ode.nonstiff.HighamHall54IntegratorTest.testIncreasingTolerance,11,true
org.apache.commons.math3.special.BetaTest.testRegularizedBetaPositivePositiveZero,1,true
org.apache.commons.math3.random.MersenneTwisterTest.testNextPascal,6,true
org.apache.commons.math3.geometry.euclidean.threed.Vector3DFormatTest.testForgottenSeparator,0,true
org.apache.commons.math3.linear.BlockRealMatrixTest.testGetSubMatrix,0,true
org.apache.commons.math3.random.RandomGeneratorFactoryTest.testNextLong2,1,true
org.apache.commons.math3.dfp.DfpTest.testLinearCombinationDF4,4,true
org.apache.commons.math3.analysis.solvers.RegulaFalsiSolverTest.testQuinticZero,1,true
org.apache.commons.math3.linear.SparseRealVectorTest.testGetL1DistanceMixedTypes,1,true
org.apache.commons.math3.distribution.EnumeratedRealDistributionTest.testGetSupportUpperBound,0,true
org.apache.commons.math3.analysis.solvers.SecantSolverTest.testSolutionRightSide,1,true
org.apache.commons.math3.linear.CholeskyDecompositionTest.testNonSquare,0,true
org.apache.commons.math3.linear.SparseRealVectorTest.testWalkInOptimizedOrderPreservingVisitor2,0,true
org.apache.commons.math3.stat.inference.OneWayAnovaTest.testAnovaFValue,0,true
org.apache.commons.math3.fraction.BigFractionTest.testIntValue,0,true
org.apache.commons.math3.stat.FrequencyTest.testIncrement,0,true
org.apache.commons.math3.linear.RealVectorTest.testMapSubtract,1,true
org.apache.commons.math3.random.BitsStreamGeneratorTest.testNextIntNeg,1,true
org.apache.commons.math3.stat.descriptive.moment.VectorialMeanTest.testSimplistic,0,true
org.apache.commons.math3.analysis.solvers.UnivariateSolverUtilsTest.testBracketSin,1,true
org.apache.commons.math3.stat.descriptive.DescriptiveStatisticsTest.testCopy,0,true
