TestCase,ExecutionTime,Passed
org.apache.commons.math3.ode.nonstiff.AdamsMoultonIntegratorTest.polynomial,21,true
org.apache.commons.math3.geometry.euclidean.threed.FieldRotationDfpTest.testDoubleRotations,1051,true
org.apache.commons.math3.optimization.fitting.PolynomialFitterTest.testFit,6,true
org.apache.commons.math3.stat.regression.GLSMultipleLinearRegressionTest.testGLSEfficiency,4103,true
org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSetTest.testIsometry,4,true
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest.testInitOutOfBounds,1,true
org.apache.commons.math3.optimization.direct.BOBYQAOptimizerTest.testMaximize,999,true
org.apache.commons.math3.linear.BlockFieldMatrixTest.testGetSetRowVectorLarge,2,true
org.apache.commons.math3.linear.EigenDecompositionTest.testMath848,4,true
org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegratorTest.testUnstableDerivative,1,true
org.apache.commons.math3.ode.JacobianMatricesTest.testInternalDifferentiation,329,true
org.apache.commons.math3.fitting.GaussianFitterTest.testMath519,41,true
org.apache.commons.math3.stat.regression.SimpleRegressionTest.testAppend,1,true
org.apache.commons.math3.optimization.direct.CMAESOptimizerTest.testCigarWithBoundaries,795,true
org.apache.commons.math3.fitting.GaussianCurveFitterTest.testMath519,122,true
org.apache.commons.math3.linear.UnmodifiableOpenMapRealVectorTest.testSparseIterator,2,true
org.apache.commons.math3.stat.regression.MillerUpdatingRegressionTest.testSubsetRegression,1,true
org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatorTest.testPreconditions,22,true
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizerTest.testCigarWithBoundaries,902,true
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest.testSumSinc,1,true
org.apache.commons.math3.linear.SymmLQTest.testPreconditionedSolution,3,true
org.apache.commons.math3.primes.PrimesTest.testNextPrime,19,true
org.apache.commons.math3.random.EmpiricalDistributionTest.testDensityIntegrals,2905,true
org.apache.commons.math3.random.AbstractRandomGeneratorTest.testNextPoisson,22,true
org.apache.commons.math3.linear.SparseFieldVectorTest.testPredicates,0,true
org.apache.commons.math3.optim.linear.SimplexSolverTest.testMath290LEQ,1,true
org.apache.commons.math3.optim.nonlinear.scalar.MultivariateFunctionMappingAdapterTest.testStartSimplexInsideRange,1,true
org.apache.commons.math3.optimization.linear.SimplexSolverTest.testMath434PivotRowSelection2,2,true
org.apache.commons.math3.optimization.direct.PowellOptimizerTest.testSumSinc,1,true
org.apache.commons.math3.linear.MatrixUtilsTest.testBlockInverseNonInvertible,1,true
org.apache.commons.math3.stat.descriptive.SynchronizedDescriptiveStatisticsTest.testRemoval,0,true
org.apache.commons.math3.optimization.MultivariateMultiStartOptimizerTest.testRosenbrock,3,true
org.apache.commons.math3.distribution.fitting.MultivariateNormalMixtureExpectationMaximizationTest.testConvergenceException,9,true
org.apache.commons.math3.transform.FastFourierTransformerTest.test2DData,1,true
org.apache.commons.math3.ode.sampling.NordsieckStepInterpolatorTest.serialization,7,true
org.apache.commons.math3.analysis.integration.gauss.LegendreTest.testCos,3,true
org.apache.commons.math3.stat.descriptive.SynchronizedMultivariateSummaryStatisticsTest.testShuffledStatistics,1,true
org.apache.commons.math3.genetics.GeneticAlgorithmTestPermutations.test,406,true
org.apache.commons.math3.stat.inference.TestUtilsTest.testGTestIndependance,1,true
org.apache.commons.math3.stat.clustering.KMeansPlusPlusClustererTest.dimension2,0,true
