VD_A for time project:
VD_A(treatment=getlo, control=modificare_random) = (0.05, 'large')
VD_A(treatment=kanonizo_greedy, control=modificare_random) = (0.11, 'large')
VD_A(treatment=kanonizo_randomsearch, control=modificare_random) = (0.1175, 'large')
VD_A(treatment=kanonizo_additionalgreedy, control=modificare_random) = (0.0175, 'large')
VD_A(treatment=kanonizo_geneticalgorithm, control=modificare_random) = (0.145, 'large')
VD_A(treatment=modificare_HC_FA, control=modificare_random) = (0.505, 'negligible')
VD_A(treatment=modificare_ART_man_avg, control=modificare_random) = (0.8125, 'large')
VD_A(treatment=modificare_genetic, control=modificare_random) = (0.55, 'negligible')
VD_A(treatment=modificare_SANN, control=modificare_random) = (0.485, 'negligible')
VD_A(treatment=modificare_HC_SA, control=modificare_random) = (0.3075, 'medium')

