NameTTD	Time
1	417.2
2	72.4
3	72.7
4	73.7
5	73.4
6	75.5
7	76.7
8	85.5
9	77.1
10	89.9
11	77.7
12	76.9
13	76.0
14	74.6
15	73.0
16	72.4
17	70.9
18	70.5
19	71.1
20	71.4
21	70.8
22	71.1
23	69.5
24	67.9
25	67.7
26	68.5
27	68.3
28	67.8
29	67.9
30	67.7
31	65.3
32	65.9
33	65.1
34	65.5
35	66.6
36	67.7
37	71.6
38	72.2
39	74.8
40	73.1
41	71.4
42	71.7
43	75.8
44	91.9
45	97.5
46	74.0
47	74.0
48	73.7
49	74.0
50	71.9
51	72.6
52	76.0
53	76.4
54	82.6
55	88.3
56	98.2
57	93.6
58	92.4
59	88.1
60	106.1
61	88.9
62	87.9
63	95.0
64	84.7
65	79.1
66	77.2
67	78.8
68	77.0
69	81.4
70	77.3
71	77.6
72	77.2
73	77.6
74	86.6
75	75.8
76	73.2
77	71.1
78	71.6
79	94.7
80	99.5
81	83.5
82	86.8
83	85.9
84	91.0
85	98.9
86	101.2
87	108.4
88	123.0
89	115.0
90	111.3
91	108.3
92	99.2
93	103.8
94	110.1
95	97.6
96	98.1
97	94.9
98	97.1
99	94.6
100	99.1
101	101.2
102	94.8
103	89.4
104	89.8
105	91.9
106	89.4
107	88.8
108	85.6
109	86.1
110	82.5
111	81.8
112	77.5
113	82.4
114	74.1
115	78.3
116	73.8
117	75.2
118	71.2
119	71.0
120	71.7
121	71.5
122	71.8
123	69.3
124	68.8
125	69.5
126	69.9
127	69.7
128	69.1
129	69.1
130	68.6
131	68.5
132	68.5
133	67.9
134	68.8
135	69.6
136	76.8
137	83.6
138	102.3
139	95.8
140	94.5
141	90.2
142	91.8
143	90.9
144	87.6
145	88.0
146	87.8
147	86.7
148	87.4
149	85.0
150	85.8
151	83.1
152	80.9
153	80.9
154	77.4
155	77.6
156	74.2
157	73.8
158	72.8
159	70.5
160	70.6
161	71.2
162	70.7
163	68.2
164	67.8
165	69.6
166	67.9
167	68.2
168	67.1
169	65.8
170	69.2
171	68.3
172	67.6
173	71.1
174	91.9
175	76.2
176	78.0
177	77.5
178	82.3
179	83.4
180	82.4
181	81.1
182	80.6
183	81.3
184	81.0
185	78.8
186	77.5
187	77.5
188	77.8
189	74.0
190	73.8
191	73.9
192	71.4
193	70.9
194	71.2
195	69.1
196	67.6
197	68.1
198	68.0
199	68.1
200	68.1
201	65.8
202	65.6
203	67.4
204	65.6
205	66.1
206	66.4
207	65.9
208	66.1
209	65.2
210	63.0
211	63.6
212	63.1
213	63.6
214	62.7
215	63.6
216	63.1
217	63.6
218	62.9
219	62.9
220	62.9
221	63.6
222	63.7
223	63.2
224	62.9
225	63.6
226	63.0
227	63.0
228	62.9
229	63.2
230	62.7
231	63.5
232	63.3
233	65.1
234	63.6
235	63.1
236	63.3
237	63.2
238	62.7
239	63.6
240	64.5
241	63.2
242	63.6
243	63.1
244	62.6
245	63.3
246	63.3
247	63.3
248	63.4
249	63.4
250	63.1
251	63.0
252	62.7
253	62.6
254	64.4
255	63.1
256	62.8
257	62.6
258	62.8
259	61.6
260	60.8
261	60.6
262	61.8
263	61.8
264	60.7
265	60.9
266	61.6
267	62.4
268	62.7
269	62.7
270	64.4
271	63.1
272	62.5
273	64.3
274	63.5
275	63.2
276	62.6
277	63.4
278	62.8
279	63.1
280	62.8
281	63.0
282	60.4
283	60.3
284	60.2
285	60.5
286	61.3
287	61.1
288	61.0
289	62.3
290	62.8
291	62.5
292	63.1
293	63.2
294	63.2
295	62.9
296	62.8
297	63.1
298	63.1
299	63.1
300	63.3
301	63.6
302	63.6
303	64.1
304	63.0
305	63.9
306	65.5
307	65.6
308	65.5
309	65.5
310	65.3
311	64.4
312	63.4
313	62.9
314	62.7
315	62.3
316	62.8
317	63.3
318	63.1
319	63.2
320	63.5
321	63.4
322	62.9
323	63.1
324	64.0
325	65.1
326	68.1
327	67.9
328	69.2
329	70.7
330	71.4
331	70.5
332	70.5
333	71.6
334	70.4
335	70.4
336	70.5
337	70.4
338	70.5
339	71.2
